Id                     Memory                     Permission Size
151                     38696                     15
152                     37936                     8
153                     37672                     6
154                     37680                     6
155                     38984                     19
156                     39224                     21
157                     37912                     7
158                     38360                     12
159                     38512                     13
160                     39032                     19
161                     39000                     18
162                     38064                     10
163                     37680                     6
164                     38688                     16
165                     38376                     9
166                     38688                     16
167                     39264                     22
168                     39440                     23
169                     39440                     23
170                     38984                     19
171                     37672                     6
172                     37832                     6
173                     39184                     21
174                     39264                     22
175                     39440                     23
176                     37440                     3
177                     39440                     23
178                     38968                     19
179                     39880                     28
180                     39120                     20
181                     38456                     13
182                     38384                     13
183                     38904                     18
184                     38968                     19
185                     37264                     1
186                     38168                     11
187                     38040                     8
188                     39008                     19
189                     38360                     13
190                     38168                     11
191                     37760                     6
192                     38408                     13
193                     38456                     13
194                     39656                     15
195                     37936                     8
196                     39440                     23
197                     38600                     15
198                     39440                     23
199                     37672                     6
200                     38464                     13
201                     39440                     23
202                     37432                     2
203                     39160                     20
204                     38376                     11
205                     38360                     13
206                     38456                     13
207                     39440                     23
208                     39912                     28
209                     39440                     23
210                     37632                     4
211                     39440                     23
212                     38360                     13
213                     38168                     11
214                     39440                     23
215                     39072                     20
216                     38456                     13
217                     38000                     8
218                     38568                     14
219                     38432                     13
220                     38688                     16
222                     39384                     23
223                     37520                     4
224                     38560                     15
225                     38056                     9
226                     13336                     15
227                     37760                     6
228                     37912                     7
229                     39264                     22
230                     37688                     6
231                     37264                     1
232                     37224                     1
233                     37264                     1
234                     38968                     19
235                     39792                     27
236                     38984                     19
237                     37464                     2
238                     39880                     28
239                     38984                     19
241                     37912                     7
242                     37912                     7
243                     38720                     15
244                     38360                     13
245                     38456                     13
246                     39440                     23
247                     39696                     26
248                     39208                     15
249                     37464                     3
250                     37320                     2
251                     39816                     27
252                     37912                     7
253                     37808                     7
254                     39248                     22
255                     39168                     21
256                     39896                     28
257                     38360                     13
258                     38456                     13
259                     38920                     18
260                     39520                     24
261                     38456                     13
262                     37760                     6
263                     39816                     27
264                     37912                     7
265                     37672                     6
266                     37912                     7
267                     38120                     9
268                     39880                     28
269                     39216                     21
270                     39880                     28
271                     37824                     6
272                     39080                     19
273                     37880                     8
274                     38912                     18
275                     38976                     18
276                     39440                     23
277                     38720                     15
278                     39304                     22
279                     39184                     21
280                     39536                     25
281                     37672                     6
282                     38360                     13
283                     37912                     7
284                     38384                     13
285                     38456                     13
286                     39440                     23
287                     39624                     25
288                     39032                     19
289                     39184                     21
290                     38384                     12
291                     37784                     7
292                     39440                     23
293                     37264                     1
294                     38456                     13
295                     38816                     17
296                     39696                     26
297                     38984                     19
298                     38456                     13
299                     38000                     8
300                     37904                     7
301                     38448                     13
302                     39104                     20
303                     39264                     22
304                     38000                     8
305                     39448                     24
306                     39880                     28
307                     38360                     13
308                     38360                     13
309                     38976                     18
310                     38088                     10
311                     39440                     23
312                     39432                     23
313                     38776                     17
314                     38264                     10
315                     37912                     7
316                     37408                     3
317                     39600                     25
318                     39384                     23
319                     38880                     18
320                     37784                     7
321                     38496                     14
322                     38104                     9
323                     38104                     9
324                     38360                     13
325                     38344                     13
326                     39792                     27
327                     38976                     18
328                     39896                     28
329                     37792                     6
330                     38456                     13
331                     38224                     11
332                     39072                     20
333                     38232                     11
334                     39816                     27
335                     39816                     27
336                     39440                     23
337                     38976                     18
338                     39880                     28
339                     39440                     23
340                     37464                     2
341                     38976                     18
342                     39224                     21
343                     37264                     1
344                     38976                     18
345                     39384                     23
346                     37264                     1
348                     38976                     18
349                     38120                     10
350                     37816                     6
351                     37912                     2
352                     39440                     23
353                     37688                     6
354                     39168                     21
355                     39440                     23
356                     37904                     7
357                     39440                     23
358                     39384                     23
359                     38584                     15
360                     38976                     18
361                     38128                     9
362                     37520                     4
363                     38664                     16
364                     38432                     13
365                     39880                     28
366                     39104                     20
367                     38592                     15
368                     39216                     21
369                     38264                     10
370                     39440                     23
371                     39192                     13
372                     39224                     21
373                     38896                     17
374                     39896                     28
375                     37264                     1
376                     38344                     13
377                     38480                     14
378                     39384                     23
379                     39432                     23
380                     38168                     11
381                     37672                     6
382                     37264                     1
383                     38968                     19
384                     39184                     20
385                     38760                     16
386                     37472                     3
387                     38000                     8
388                     40208                     28
389                     40608                     13
390                     38608                     9
391                     38272                     12
392                     37936                     8
393                     38080                     10
394                     37912                     7
395                     37520                     4
396                     37464                     2
397                     38344                     13
398                     39816                     27
399                     39224                     21
400                     39280                     22
401                     39440                     23
402                     37680                     6
403                     39816                     27
404                     38976                     18
405                     38224                     11
406                     39440                     23
407                     38968                     19
408                     37264                     1
409                     38976                     18
410                     38584                     15
411                     39184                     21
412                     39104                     20
413                     37912                     7
414                     39440                     23
415                     39264                     22
416                     39384                     23
417                     38976                     18
418                     38984                     19
419                     38120                     9
420                     39440                     23
421                     37912                     7
422                     38064                     9
423                     37264                     1
424                     39224                     21
425                     39224                     21
426                     38864                     18
427                     39424                     23
428                     38984                     19
429                     39440                     23
430                     37936                     8
431                     39880                     28
432                     38120                     9
433                     38992                     19
434                     39920                     28
435                     37672                     6
436                     37520                     4
437                     37680                     6
438                     38912                     18
439                     38560                     15
440                     38128                     9
441                     38672                     16
442                     38456                     14
443                     37912                     7
444                     38056                     9
445                     38360                     13
446                     38984                     19
447                     37936                     8
448                     37472                     3
449                     38976                     18
450                     39600                     25
451                     37976                     8
452                     37880                     8
453                     39440                     23
454                     38712                     15
455                     38456                     13
456                     37912                     7
457                     38360                     13
458                     39224                     21
459                     38896                     17
460                     38456                     13
461                     37744                     6
462                     38664                     16
463                     37264                     1
464                     37752                     6
465                     38976                     18
466                     39224                     21
467                     38360                     13
468                     37552                     3
469                     39216                     21
470                     38640                     14
471                     38688                     16
472                     38968                     19
473                     38456                     13
474                     37808                     6
475                     37784                     7
476                     38432                     13
477                     39440                     23
478                     38688                     16
479                     39224                     21
480                     39664                     26
481                     38712                     15
482                     39880                     28
483                     38088                     10
484                     39912                     28
485                     37912                     7
486                     38968                     19
487                     39824                     27
488                     39264                     22
489                     39264                     22
490                     39880                     28
491                     37912                     7
492                     38896                     18
493                     39384                     23
494                     38040                     8
495                     37512                     3
496                     39184                     21
497                     37912                     7
498                     37848                     7
499                     38224                     11
500                     38456                     14
501                     39824                     27
502                     38088                     10
503                     38128                     9
504                     38456                     13
505                     39112                     20
506                     39440                     23
507                     39240                     21
508                     38872                     18
509                     39304                     22
510                     38856                     13
511                     39824                     27
512                     38456                     13
513                     38256                     7
514                     38920                     18
515                     22456                     9
516                     38216                     11
517                     38112                     9
518                     37824                     3
519                     37936                     8
520                     39896                     28
521                     39816                     27
522                     38688                     16
523                     38296                     12
524                     38864                     18
525                     37912                     7
526                     38128                     9
527                     37936                     8
528                     37288                     1
529                     37672                     6
530                     39224                     21
531                     38456                     13
532                     38632                     15
533                     38632                     15
534                     38056                     9
535                     38976                     18
536                     39224                     21
537                     38976                     18
538                     37880                     8
539                     37672                     6
540                     38688                     16
541                     39024                     19
542                     38664                     16
543                     39264                     22
544                     37912                     7
545                     39384                     23
546                     38120                     9
547                     38968                     19
548                     39384                     23
549                     38456                     13
550                     37264                     1
551                     39872                     28
552                     38128                     9
553                     37880                     8
554                     40072                     18
555                     39224                     21
556                     38344                     13
557                     37264                     1
558                     39440                     23
559                     38456                     13
560                     39384                     23
561                     38560                     15
562                     38656                     15
563                     38968                     19
564                     37936                     8
565                     37320                     2
566                     37680                     6
567                     38416                     13
568                     39880                     28
569                     38720                     15
570                     39440                     23
571                     38976                     18
572                     37680                     6
573                     37912                     7
574                     38456                     14
575                     39440                     23
576                     37912                     7
577                     37912                     7
578                     38456                     14
579                     39104                     20
580                     37688                     6
581                     38968                     19
582                     37912                     7
583                     37264                     1
584                     39880                     28
585                     37592                     3
586                     39440                     23
587                     39104                     20
588                     38968                     19
589                     37680                     6
590                     39904                     28
591                     37912                     7
592                     38072                     9
593                     38720                     15
594                     37912                     7
595                     37800                     6
596                     38456                     14
597                     38544                     14
598                     38776                     17
599                     37928                     7
600                     38224                     11
601                     38576                     15
602                     40008                     29
603                     38224                     11
604                     38360                     13
605                     38976                     18
606                     39440                     23
607                     38688                     16
608                     37912                     7
609                     37264                     1
610                     37936                     8
611                     38896                     18
612                     38456                     13
613                     39072                     20
614                     38080                     10
615                     39440                     23
616                     38128                     9
617                     39240                     21
618                     39928                     28
619                     39104                     20
620                     39880                     28
621                     39816                     27
622                     38968                     19
623                     38040                     9
624                     37672                     6
625                     39440                     23
626                     37912                     7
627                     38976                     18
628                     39808                     27
629                     37912                     7
630                     37672                     6
631                     37912                     7
632                     37768                     7
633                     39600                     25
634                     37264                     1
635                     37912                     7
636                     39920                     28
637                     38128                     9
638                     38080                     10
639                     37264                     1
640                     38592                     15
641                     39912                     28
642                     39104                     20
643                     37760                     6
644                     39816                     27
645                     38512                     14
646                     37992                     9
647                     39896                     28
648                     38880                     18
649                     39184                     21
650                     39816                     27
651                     38688                     16
652                     39384                     23
653                     39000                     18
654                     38688                     16
655                     38968                     19
656                     38872                     18
657                     38040                     9
658                     39440                     23
659                     38688                     16
660                     38688                     16
661                     39880                     28
662                     37672                     6
663                     37464                     2
664                     39440                     23
665                     37936                     8
666                     37920                     8
667                     37520                     4
668                     37912                     7
669                     37936                     8
670                     38360                     13
671                     38384                     12
672                     38360                     13
673                     37992                     9
674                     37912                     7
675                     38968                     19
676                     38240                     11
677                     37264                     1
678                     39440                     23
679                     39072                     20
680                     39496                     23
681                     38792                     17
682                     38744                     15
683                     39336                     22
684                     38480                     14
685                     38344                     13
686                     38968                     19
687                     39600                     25
688                     38872                     18
689                     37264                     1
690                     37320                     2
691                     37344                     1
692                     39896                     28
693                     39224                     21
694                     38456                     14
695                     37312                     2
696                     39168                     21
697                     37912                     7
698                     39880                     28
699                     38360                     13
700                     37912                     7
701                     39216                     21
702                     37912                     7
703                     39440                     23
704                     38688                     16
705                     39032                     19
706                     38968                     19
707                     39384                     23
708                     37264                     1
709                     39592                     25
710                     38288                     12
711                     38056                     9
712                     38688                     16
713                     38120                     9
714                     37920                     7
715                     38976                     18
716                     37672                     6
717                     37912                     7
718                     37936                     8
719                     38992                     18
720                     39384                     23
721                     37672                     6
722                     38360                     13
723                     39896                     28
724                     39440                     23
725                     39056                     20
726                     39880                     28
727                     38968                     19
728                     37672                     6
729                     37912                     7
730                     38976                     18
731                     37672                     6
732                     38456                     14
733                     37264                     1
734                     37520                     4
735                     39104                     20
736                     38168                     11
737                     37856                     7
738                     39896                     28
739                     38456                     13
740                     38984                     19
741                     37264                     1
742                     39224                     21
743                     39224                     21
744                     37936                     8
745                     38976                     18
746                     38456                     13
747                     37992                     9
748                     39816                     27
749                     39528                     23
750                     38872                     18
751                     38456                     14
752                     39408                     21
753                     39032                     19
754                     39440                     23
755                     39160                     20
756                     39800                     27
757                     39440                     23
758                     39928                     28
759                     38640                     15
760                     37992                     9
761                     39312                     22
762                     38968                     19
763                     39072                     20
764                     39440                     23
765                     37912                     7
766                     39248                     22
767                     39440                     23
768                     38920                     18
769                     38976                     18
770                     39440                     23
771                     38544                     14
772                     39880                     28
773                     41776                     6
774                     38968                     19
775                     39104                     20
776                     37952                     8
777                     38776                     17
778                     38576                     15
779                     37400                     3
780                     38968                     19
781                     37680                     6
782                     38376                     12
783                     38688                     16
784                     39216                     21
785                     37672                     6
786                     38904                     17
787                     37792                     6
788                     37912                     7
789                     38688                     16
790                     38664                     16
791                     37520                     4
792                     39816                     27
793                     37680                     6
794                     38568                     14
795                     38360                     13
796                     38896                     18
797                     37264                     1
798                     37672                     6
799                     39104                     20
800                     38808                     17
801                     37264                     1
802                     39192                     20
803                     38688                     16
804                     38968                     19
805                     37912                     7
806                     39880                     28
807                     38912                     18
808                     39440                     23
809                     38224                     11
810                     38576                     15
811                     37568                     4
812                     37264                     1
813                     38408                     12
814                     39824                     27
815                     37912                     7
816                     39384                     23
817                     38584                     15
818                     38240                     11
819                     37672                     6
820                     39440                     23
821                     38976                     18
822                     37960                     8
823                     37464                     2
824                     39440                     23
825                     40000                     29
826                     39192                     20
827                     38456                     13
828                     40824                     21
829                     37408                     3
830                     37264                     1
831                     38000                     9
832                     37680                     6
833                     39264                     22
834                     37792                     7
835                     38688                     16
836                     38912                     18
837                     38688                     16
838                     39192                     20
839                     38720                     15
840                     39440                     23
841                     37464                     2
842                     39440                     23
843                     37936                     8
844                     38968                     19
845                     38976                     18
846                     37464                     2
847                     39880                     28
848                     37208                     1
849                     39440                     23
850                     38984                     19
851                     39440                     23
852                     39440                     23
853                     39384                     23
854                     39224                     21
855                     39440                     23
856                     38240                     11
857                     38120                     9
858                     38592                     14
859                     39072                     20
860                     39240                     21
861                     38464                     13
862                     37264                     1
863                     38184                     11
864                     38040                     9
865                     39440                     23
866                     39440                     23
867                     39680                     26
868                     37264                     1
869                     38128                     9
870                     37760                     6
871                     38280                     12
872                     38360                     13
873                     38968                     19
874                     39440                     23
875                     39216                     21
876                     38120                     9
877                     39880                     28
878                     39440                     23
879                     39824                     27
880                     38976                     18
881                     38984                     19
882                     37544                     3
883                     38104                     9
884                     38456                     13
885                     39440                     23
886                     39304                     22
887                     38456                     13
888                     37912                     7
889                     38568                     14
890                     38456                     14
891                     38568                     14
892                     39264                     22
893                     39224                     21
894                     39440                     23
895                     38976                     18
896                     38576                     15
897                     37320                     2
898                     37992                     9
899                     39880                     28
900                     39880                     28
901                     39000                     19
902                     37552                     4
903                     39264                     22
904                     38976                     18
905                     38688                     16
906                     38968                     19
907                     38632                     15
908                     38584                     14
909                     38512                     14
910                     39112                     20
911                     38688                     16
912                     39880                     28
913                     39792                     27
914                     39808                     27
915                     38104                     7
916                     37672                     6
917                     39104                     20
918                     38064                     9
919                     38408                     12
920                     37808                     6
921                     39440                     23
922                     39696                     26
923                     38456                     13
924                     37464                     2
925                     37760                     6
926                     38312                     12
927                     37264                     1
928                     38432                     13
929                     39816                     27
930                     38120                     9
931                     37264                     1
932                     40008                     29
933                     38184                     11
934                     38456                     14
935                     38040                     9
936                     37464                     2
937                     38456                     14
938                     39832                     28
939                     37680                     6
940                     38224                     11
941                     38976                     18
942                     23520                     20
943                     37760                     6
944                     39384                     23
945                     39440                     23
946                     39440                     23
947                     39816                     27
948                     38688                     16
949                     39440                     23
950                     38056                     9
951                     38224                     11
952                     37920                     7
953                     38080                     10
954                     38056                     9
955                     38984                     19
956                     37912                     7
957                     38456                     13
958                     37520                     4
959                     37936                     8
960                     37680                     6
961                     39224                     21
962                     39264                     22
963                     38128                     9
964                     39384                     23
965                     39192                     20
966                     38720                     15
967                     39440                     23
968                     38912                     18
969                     38840                     17
970                     38968                     19
971                     39896                     28
972                     37264                     1
973                     37912                     7
974                     37672                     6
975                     37752                     6
976                     39440                     23
977                     37520                     4
978                     38896                     18
979                     37680                     6
980                     39432                     23
981                     37680                     6
982                     39264                     22
983                     38000                     8
984                     37464                     2
985                     39184                     20
986                     39816                     27
987                     37672                     6
988                     38120                     9
989                     39440                     23
990                     38192                     11
991                     37520                     4
992                     38688                     16
993                     37912                     7
994                     39880                     28
995                     38096                     10
996                     38120                     9
997                     37664                     5
998                     38984                     19
999                     38456                     13
1000                     38696                     16
1001                     37912                     7
1002                     37312                     2
1003                     37688                     6
1004                     38120                     9
1005                     37264                     1
1006                     37760                     6
1007                     39912                     28
1008                     37264                     1
1009                     38120                     9
1010                     37672                     6
1011                     39264                     22
1012                     37696                     6
1013                     37680                     6
1014                     37904                     7
1015                     38648                     16
1016                     39816                     27
1017                     39504                     24
1018                     38456                     13
1019                     38120                     9
1020                     37680                     6
1021                     38360                     13
1022                     38496                     14
1023                     37264                     1
1024                     37672                     6
1025                     39104                     20
1026                     37672                     6
1027                     39440                     23
1028                     39184                     20
1029                     37912                     7
1030                     38704                     16
1031                     38120                     9
1032                     37744                     5
1033                     37912                     7
1034                     37672                     5
1035                     37912                     7
1036                     38976                     18
1037                     39776                     27
1038                     38360                     13
1039                     39264                     22
1040                     37544                     3
1041                     38968                     19
1042                     39880                     28
1043                     39824                     27
1044                     37552                     4
1045                     39440                     23
1046                     38576                     15
1047                     37520                     4
1048                     37920                     7
1049                     37264                     1
1050                     38560                     15
1051                     39072                     20
1052                     39384                     23
1053                     39816                     27
1054                     37264                     1
1055                     39896                     28
1056                     39816                     27
1057                     38360                     13
1058                     37640                     4
1059                     38968                     19
1060                     38040                     9
1061                     37816                     7
1062                     37208                     1
1063                     39440                     23
1064                     38688                     16
1065                     38344                     13
1066                     39808                     27
1067                     38456                     13
1068                     37680                     6
1069                     39440                     23
1070                     38040                     9
1071                     38064                     9
1072                     39880                     28
1073                     38896                     17
1074                     38456                     13
1075                     39032                     19
1076                     37464                     2
1077                     37264                     1
1078                     39440                     23
1079                     37784                     7
1080                     37992                     9
1081                     37808                     7
1082                     39304                     22
1083                     38120                     9
1084                     39440                     23
1085                     39440                     23
1086                     39104                     20
1087                     38712                     15
1088                     39000                     19
1089                     37672                     6
1090                     37680                     6
1091                     37936                     8
1092                     37320                     2
1093                     39880                     28
1094                     39816                     27
1095                     37520                     4
1096                     37912                     7
1097                     39816                     27
1098                     39960                     27
1099                     38976                     18
1100                     39264                     22
1101                     37672                     6
1102                     39552                     25
1103                     39800                     27
1104                     37920                     7
1105                     39880                     28
1106                     39440                     23
1107                     39816                     27
1108                     38456                     14
1109                     38648                     16
1110                     37672                     6
1111                     37672                     6
1112                     39440                     23
1113                     39880                     28
1114                     37960                     8
1115                     37680                     6
1116                     38688                     16
1117                     39224                     21
1118                     39440                     23
1119                     39440                     23
1120                     38456                     13
1121                     37752                     6
1122                     39816                     27
1123                     39384                     23
1124                     38976                     18
1125                     39440                     23
1126                     38448                     13
1127                     39592                     25
1128                     38000                     8
1129                     37464                     2
1130                     37464                     2
1131                     39440                     23
1132                     38360                     13
1133                     39216                     21
1134                     37912                     7
1135                     38976                     18
1136                     38944                     18
1137                     37912                     7
1138                     37496                     2
1139                     37672                     6
1140                     37816                     7
1141                     38976                     18
1142                     38768                     17
1143                     38920                     18
1144                     38968                     19
1145                     37264                     1
1146                     39072                     19
1147                     38688                     16
1148                     39816                     27
1149                     37784                     7
1150                     39440                     23
1151                     38976                     18
1152                     37264                     1
1153                     39896                     28
1154                     38344                     13
1155                     39816                     27
1156                     39672                     26
1157                     37464                     2
1158                     37680                     6
1159                     38568                     14
1160                     38976                     18
1161                     37912                     7
1162                     39696                     26
1163                     37464                     2
1164                     39384                     23
1165                     38040                     9
1166                     38688                     16
1167                     37912                     7
1168                     38808                     17
1169                     38456                     13
1170                     37936                     8
1171                     37264                     1
1172                     38896                     18
1173                     39440                     23
1174                     37816                     6
1175                     39440                     23
1176                     39224                     21
1178                     37912                     7
1179                     37760                     6
1180                     39440                     23
1181                     39880                     28
1182                     38776                     17
1183                     37464                     2
1184                     39440                     23
1185                     38968                     19
1187                     38688                     16
1188                     37912                     7
1189                     39304                     22
1190                     39440                     23
1191                     38968                     19
1192                     38456                     13
1193                     37912                     7
1194                     38976                     18
1195                     37672                     6
1196                     39864                     27
1197                     39440                     23
1198                     39896                     28
1199                     38128                     9
1200                     37784                     7
1201                     39440                     23
1202                     39928                     28
1203                     38696                     15
1204                     38168                     11
1205                     37264                     1
1206                     37264                     1
1207                     38968                     19
1208                     37672                     6
1209                     39440                     23
1210                     39072                     20
1211                     37672                     6
1212                     38224                     11
1213                     38120                     9
1214                     38976                     18
1215                     37912                     7
1216                     39440                     23
1217                     38768                     17
1218                     38456                     13
1219                     37936                     8
1220                     37912                     7
1221                     38392                     12
1222                     39000                     18
1223                     39168                     21
1224                     37520                     4
1225                     38456                     13
1226                     37672                     6
1227                     39384                     23
1228                     39448                     23
1229                     39624                     25
1230                     38688                     16
1231                     39104                     20
1232                     38976                     19
1233                     38968                     19
1234                     37264                     1
1235                     38120                     9
1236                     39816                     27
1237                     39440                     23
1238                     38128                     9
1239                     38184                     11
1240                     38016                     9
1241                     41160                     16
1242                     38272                     12
1243                     39072                     20
1244                     39896                     28
1245                     38872                     18
1246                     37848                     7
1247                     38360                     13
1248                     38168                     10
1249                     37760                     6
1250                     38456                     14
1251                     39168                     21
1252                     39440                     23
1253                     37616                     5
1254                     39120                     20
1255                     38976                     18
1256                     39192                     20
1257                     39928                     28
1258                     38256                     10
1259                     38456                     13
1260                     37912                     7
1261                     39264                     22
1262                     38224                     11
1263                     37680                     6
1264                     39880                     28
1265                     38976                     18
1266                     37920                     8
1267                     38456                     13
1268                     39032                     19
1269                     38456                     13
1270                     39816                     27
1271                     39944                     28
1272                     39224                     21
1273                     37912                     7
1274                     37264                     1
1275                     39184                     20
1276                     38104                     9
1277                     39176                     21
1278                     37912                     7
1279                     39592                     25
1280                     38976                     18
1281                     39896                     28
1282                     38968                     19
1283                     38456                     14
1284                     39440                     23
1285                     39224                     21
1286                     37680                     6
1287                     39440                     23
1288                     39224                     21
1289                     39816                     27
1290                     38688                     16
1291                     39872                     27
1292                     37264                     1
1293                     38456                     13
1294                     38976                     18
1295                     39816                     27
1296                     38984                     19
1297                     37912                     7
1298                     37320                     2
1299                     38368                     13
1300                     39304                     22
1301                     37264                     1
1302                     38344                     13
1303                     38976                     18
1304                     37288                     2
1305                     38064                     10
1306                     39440                     23
1307                     37912                     7
1308                     39312                     22
1309                     38280                     11
1310                     39440                     23
1311                     38456                     14
1312                     37264                     1
1313                     37680                     6
1314                     37936                     8
1315                     39184                     20
1316                     37880                     8
1317                     38264                     11
1318                     37680                     6
1319                     39816                     27
1320                     37464                     2
1321                     39184                     20
1322                     39072                     20
1323                     38968                     19
1324                     39408                     21
1325                     38880                     18
1326                     38120                     9
1327                     39240                     21
1328                     37344                     1
1329                     39440                     23
1330                     39880                     28
1331                     38968                     19
1332                     38976                     18
1333                     38360                     13
1334                     37952                     7
1335                     37264                     1
1336                     37264                     1
1337                     38976                     18
1338                     38688                     16
1339                     39816                     27
1340                     39440                     23
1341                     38968                     19
1342                     39440                     23
1343                     38456                     13
1344                     39384                     23
1345                     38976                     18
1346                     39880                     28
1347                     37264                     1
1348                     39304                     22
1349                     39896                     28
1350                     39432                     23
1351                     37432                     2
1352                     38360                     13
1353                     38976                     18
1354                     39440                     23
1355                     38968                     19
1356                     38720                     15
1357                     38064                     10
1358                     39792                     27
1359                     37952                     8
1360                     38224                     11
1361                     39192                     20
1362                     38120                     9
1363                     39440                     23
1364                     38648                     16
1365                     39264                     22
1366                     38456                     13
1367                     39072                     20
1368                     38664                     16
1369                     38688                     14
1370                     39448                     24
1371                     37912                     7
1372                     39768                     26
1373                     39440                     23
1374                     38976                     18
1375                     37512                     3
1376                     37824                     6
1377                     38456                     13
1378                     38976                     18
1379                     39440                     23
1380                     37432                     2
1381                     38872                     18
1382                     37464                     2
1383                     37672                     6
1384                     39224                     21
1385                     38048                     9
1386                     38968                     19
1387                     37352                     1
1388                     38048                     9
1389                     38976                     18
1390                     37264                     1
1391                     38224                     11
1392                     39168                     21
1393                     37416                     3
1394                     39104                     20
1395                     38120                     9
1396                     38968                     19
1397                     39664                     25
1398                     37672                     6
1399                     38648                     16
1400                     39968                     29
1401                     38976                     18
1402                     37760                     6
1403                     38056                     9
1404                     39816                     27
1405                     38968                     19
1406                     38968                     19
1407                     38408                     12
1408                     38456                     13
1409                     37264                     1
1410                     -450312                     6
1411                     1064                     8
1412                     2216                     20
1413                     896                     7
1414                     2856                     27
1415                     1232                     10
1416                     368                     1
1417                     312                     1
1418                     2368                     22
1419                     368                     1
1420                     2336                     21
1421                     368                     1
1422                     2416                     22
1423                     2336                     21
1424                     2288                     21
1425                     2552                     23
1426                     1856                     16
1427                     2072                     19
1428                     312                     1
1429                     2552                     23
1430                     1656                     14
1431                     3040                     28
1432                     952                     7
1433                     1856                     16
1434                     1528                     13
1435                     3168                     29
1436                     384                     1
1437                     1040                     8
1438                     2424                     22
1439                     1640                     14
1440                     2552                     23
1441                     2328                     21
1442                     2128                     19
1443                     2040                     18
1444                     2736                     25
1445                     2552                     23
1446                     2976                     27
1447                     1072                     8
1448                     1936                     17
1449                     1472                     13
1450                     2552                     23
1451                     1024                     8
1452                     2984                     28
1453                     1760                     15
1454                     312                     1
1455                     368                     1
1456                     936                     7
1457                     2024                     18
1458                     880                     7
1459                     3008                     28
1460                     1984                     18
1461                     896                     7
1462                     2384                     21
1463                     1528                     13
1464                     2128                     19
1465                     568                     3
1466                     880                     7
1467                     2368                     22
1468                     512                     3
1469                     752                     5
1470                     2336                     21
1471                     1136                     9
1472                     2080                     18
1473                     2144                     19
1474                     936                     7
1475                     2424                     22
1476                     840                     6
1477                     1728                     15
1478                     2328                     21
1479                     936                     7
1480                     2160                     20
1481                     840                     6
1482                     680                     4
1483                     840                     6
1484                     3040                     28
1485                     664                     4
1486                     768                     5
1487                     1152                     9
1488                     2040                     18
1489                     2024                     18
1490                     1512                     13
1491                     944                     7
1492                     3088                     28
1493                     840                     6
1494                     2088                     19
1495                     2216                     20
1496                     368                     1
1497                     2984                     28
1498                     2608                     24
1499                     1736                     15
1500                     3040                     28
1501                     1376                     12
1502                     2224                     20
1503                     1456                     13
1504                     1040                     8
1505                     1472                     13
